PRCDDA,Province,Dissemination area (DA) Population,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores
59170037,British Columbia,476,3,-0.169,3,-0.208,4,-0.086,3,-0.329
59170038,British Columbia,654,3,-0.495,3,-0.049,4,-0.111,2,-0.386
59170039,British Columbia,514,3,-0.126,3,-0.114,3,-0.197,2,-0.548
59170040,British Columbia,608,4,0.493,4,0.670,2,-0.584,3,-0.299
59170041,British Columbia,253,4,0.402,5,1.768,3,-0.441,1,-0.828
59170042,British Columbia,594,4,0.722,5,1.996,4,0.312,3,-0.315
59170043,British Columbia,573,5,0.947,5,4.408,2,-0.714,1,-1.457
59170044,British Columbia,569,5,1.540,5,5.310,3,-0.449,1,-1.059
59170045,British Columbia,351,5,0.827,5,2.312,4,-0.105,1,-0.996
59170046,British Columbia,441,4,0.297,5,3.677,2,-0.562,1,-1.093
59170047,British Columbia,923,4,0.010,5,0.684,4,0.207,2,-0.404
59170048,British Columbia,277,4,0.003,2,-0.512,3,-0.305,2,-0.537
59170049,British Columbia,542,3,-0.185,2,-0.516,3,-0.494,1,-0.749
59170051,British Columbia,544,3,-0.450,3,-0.084,3,-0.446,2,-0.420
59170052,British Columbia,653,1,-0.870,5,0.871,3,-0.298,1,-0.778
59170053,British Columbia,447,2,-0.675,4,0.352,3,-0.527,2,-0.598
59170054,British Columbia,623,1,-0.890,5,0.804,3,-0.369,1,-0.718
59170055,British Columbia,416,1,-0.886,5,0.720,3,-0.464,1,-0.785
59170056,British Columbia,780,1,-0.852,5,1.467,4,-0.177,1,-0.963
59170063,British Columbia,484,3,-0.263,5,3.589,1,-0.939,3,-0.215
59170066,British Columbia,1201,3,-0.413,5,1.372,2,-0.639,5,1.864
59170070,British Columbia,504,3,-0.418,4,0.404,3,-0.285,2,-0.407
59170071,British Columbia,751,2,-0.805,4,0.551,4,-0.140,1,-0.696
59170072,British Columbia,815,1,-0.982,3,-0.174,4,-0.155,2,-0.562
59170074,British Columbia,547,3,-0.436,4,0.270,4,0.346,3,-0.207
59170075,British Columbia,582,2,-0.766,5,0.841,4,-0.109,1,-1.082
59170076,British Columbia,1364,2,-0.777,5,1.610,3,-0.198,1,-0.912
59170077,British Columbia,819,1,-0.864,2,-0.549,3,-0.483,1,-0.674
59170079,British Columbia,666,2,-0.575,1,-0.787,4,0.461,2,-0.576
59170081,British Columbia,382,2,-0.638,5,1.229,3,-0.405,2,-0.591
59170082,British Columbia,683,3,-0.183,5,0.994,4,-0.180,1,-0.735
59170084,British Columbia,636,3,-0.452,4,0.351,4,-0.019,1,-0.619
59170085,British Columbia,738,2,-0.717,5,0.705,5,0.837,2,-0.538
59170094,British Columbia,711,3,-0.308,5,3.631,4,-0.117,1,-1.411
59170095,British Columbia,986,4,0.627,5,1.025,4,0.061,2,-0.600
59170096,British Columbia,752,4,0.051,2,-0.710,4,0.377,2,-0.371
59170097,British Columbia,639,1,-0.935,3,0.083,4,-0.010,1,-0.797
59170098,British Columbia,488,3,-0.331,1,-1.016,2,-0.669,3,-0.198
59170100,British Columbia,541,2,-0.553,2,-0.381,3,-0.321,2,-0.392
59170101,British Columbia,916,3,-0.089,2,-0.764,4,-0.139,3,-0.076
59170102,British Columbia,846,2,-0.579,3,-0.264,4,0.075,2,-0.477
59170103,British Columbia,852,3,-0.271,2,-0.346,4,-0.100,5,0.385
59170104,British Columbia,281,3,-0.339,1,-1.225,4,-0.039,2,-0.489
59170105,British Columbia,690,4,-0.019,3,-0.147,5,0.969,5,0.635
59170106,British Columbia,595,3,-0.291,2,-0.470,4,0.317,1,-0.632
59170111,British Columbia,394,2,-0.687,2,-0.367,4,-0.154,2,-0.493
59170112,British Columbia,480,3,-0.331,1,-0.972,4,0.133,2,-0.458
59170113,British Columbia,503,4,0.039,2,-0.351,4,0.100,4,0.023
59170114,British Columbia,1152,5,2.308,2,-0.609,4,0.100,3,-0.263
59170115,British Columbia,556,4,0.745,4,0.145,4,-0.098,2,-0.513
59170116,British Columbia,477,3,-0.155,3,-0.276,4,-0.011,1,-0.719
59170117,British Columbia,441,4,0.586,3,-0.308,2,-0.698,1,-0.637
59170118,British Columbia,557,3,-0.069,1,-0.961,4,0.064,2,-0.442
59170119,British Columbia,488,4,0.022,1,-0.974,4,0.058,2,-0.615
59170120,British Columbia,576,4,0.732,1,-0.795,5,0.736,4,0.009
59170121,British Columbia,437,4,0.398,1,-1.772,4,0.018,3,-0.247
59170122,British Columbia,719,5,2.307,4,0.202,4,-0.032,3,-0.213
59170123,British Columbia,447,5,1.968,2,-0.571,3,-0.244,2,-0.485
59170124,British Columbia,748,5,2.284,2,-0.629,4,0.240,3,-0.306
59170125,British Columbia,888,5,1.483,1,-1.287,4,0.290,3,-0.326
59170126,British Columbia,466,4,0.403,2,-0.776,4,0.014,3,-0.329
59170127,British Columbia,636,5,1.154,1,-1.021,4,0.467,4,-0.011
59170128,British Columbia,690,3,-0.172,1,-1.009,3,-0.229,1,-0.644
59170129,British Columbia,539,4,0.108,1,-0.838,3,-0.377,4,-0.003
59170130,British Columbia,718,5,1.035,5,1.357,3,-0.347,5,0.521
59170131,British Columbia,576,4,0.197,1,-0.840,3,-0.287,3,-0.196
59170132,British Columbia,520,5,1.164,1,-1.230,4,0.179,4,-0.008
59170133,British Columbia,549,5,1.976,2,-0.550,4,0.095,4,0.064
59170134,British Columbia,571,5,1.173,2,-0.711,4,0.088,3,-0.062
59170135,British Columbia,426,3,-0.099,3,-0.144,3,-0.536,2,-0.424
59170136,British Columbia,486,4,0.554,2,-0.608,2,-0.562,2,-0.493
59170137,British Columbia,529,3,-0.179,2,-0.736,4,-0.104,4,0.037
59170138,British Columbia,428,4,0.307,1,-1.098,3,-0.242,3,-0.232
59170139,British Columbia,503,4,0.131,1,-0.987,4,0.160,2,-0.575
59170140,British Columbia,522,5,1.073,1,-1.508,3,-0.243,3,-0.180
59170141,British Columbia,606,5,1.534,3,-0.301,4,-0.074,5,0.388
59170142,British Columbia,540,5,1.429,1,-1.063,4,-0.188,4,0.189
59170143,British Columbia,557,5,0.926,1,-1.149,4,0.049,4,-0.001
59170144,British Columbia,700,5,1.757,2,-0.736,4,0.302,2,-0.423
59170145,British Columbia,499,5,2.262,1,-1.482,3,-0.370,4,0.150
59170146,British Columbia,640,5,1.235,1,-0.989,5,0.824,3,-0.209
59170147,British Columbia,346,5,2.860,1,-1.142,3,-0.394,3,-0.063
59170148,British Columbia,433,5,2.226,1,-1.341,4,-0.093,3,-0.142
59170149,British Columbia,587,5,1.786,4,0.241,5,0.724,5,1.780
59170150,British Columbia,247,5,3.294,1,-0.819,5,1.293,2,-0.408
59170151,British Columbia,510,5,1.661,1,-0.885,4,0.243,2,-0.373
59170152,British Columbia,481,5,1.990,1,-1.946,4,0.055,3,-0.097
59170153,British Columbia,741,5,2.527,1,-1.044,5,0.870,4,0.004
59170154,British Columbia,542,4,0.680,3,-0.298,4,0.233,4,0.074
59170155,British Columbia,594,5,1.698,1,-1.659,3,-0.425,2,-0.580
59170156,British Columbia,575,4,0.385,5,1.229,4,0.133,2,-0.484
59170157,British Columbia,562,4,0.101,1,-1.176,4,-0.058,2,-0.574
59170158,British Columbia,966,5,2.548,1,-0.932,4,0.001,2,-0.512
59170159,British Columbia,961,5,2.690,3,-0.060,4,0.193,1,-0.654
59170160,British Columbia,705,5,3.038,1,-0.829,2,-0.620,1,-0.768
59170161,British Columbia,521,5,3.073,5,1.307,3,-0.374,4,0.230
59170162,British Columbia,510,5,2.978,4,0.620,4,0.571,3,-0.215
59170163,British Columbia,462,5,2.482,1,-1.112,3,-0.419,2,-0.355
59170164,British Columbia,1038,5,1.867,2,-0.501,3,-0.228,1,-0.911
59170165,British Columbia,500,5,2.753,2,-0.408,3,-0.456,2,-0.526
59170166,British Columbia,474,5,2.416,2,-0.355,4,0.080,4,-0.034
59170167,British Columbia,403,5,2.625,2,-0.633,3,-0.222,5,0.545
59170168,British Columbia,478,5,2.190,1,-0.856,3,-0.267,3,-0.185
59170169,British Columbia,429,5,2.271,1,-1.039,3,-0.450,2,-0.580
59170170,British Columbia,493,5,2.018,1,-1.300,4,-0.085,1,-1.024
59170171,British Columbia,717,5,3.186,2,-0.762,3,-0.258,3,-0.122
59170172,British Columbia,574,5,2.813,2,-0.697,4,0.107,4,0.037
59170174,British Columbia,580,5,1.083,1,-0.968,2,-0.583,4,0.162
59170175,British Columbia,482,4,0.626,2,-0.605,1,-0.783,2,-0.568
59170177,British Columbia,513,5,2.337,3,-0.235,4,-0.103,2,-0.465
59170178,British Columbia,651,5,2.294,2,-0.425,4,-0.071,3,-0.194
59170179,British Columbia,572,5,2.045,3,-0.073,4,-0.185,1,-0.713
59170180,British Columbia,507,5,1.338,2,-0.721,1,-0.727,4,0.199
59170181,British Columbia,558,5,0.892,1,-1.106,5,1.005,2,-0.475
59170182,British Columbia,374,5,1.852,5,0.935,4,-0.148,1,-0.759
59170184,British Columbia,568,5,1.610,2,-0.702,4,-0.044,2,-0.543
59170185,British Columbia,602,5,0.922,2,-0.391,3,-0.221,2,-0.538
59170186,British Columbia,451,2,-0.696,3,-0.221,3,-0.350,1,-0.950
59170187,British Columbia,464,5,1.336,2,-0.740,4,0.074,3,-0.176
59170189,British Columbia,364,1,-0.967,4,0.659,3,-0.499,1,-1.127
59170190,British Columbia,600,3,-0.210,5,0.991,3,-0.322,1,-0.842
59170191,British Columbia,347,4,-0.002,5,1.161,3,-0.511,2,-0.506
59170192,British Columbia,621,4,0.795,5,3.306,3,-0.210,1,-1.401
59170193,British Columbia,567,1,-1.134,4,0.526,3,-0.274,1,-0.722
59170194,British Columbia,486,3,-0.423,5,2.032,3,-0.372,2,-0.599
59170195,British Columbia,512,5,1.037,5,2.684,3,-0.475,1,-1.028
59170196,British Columbia,533,5,0.949,5,1.332,4,0.094,1,-0.680
59170197,British Columbia,537,3,-0.279,4,0.289,2,-0.553,2,-0.589
59170198,British Columbia,694,4,0.695,2,-0.440,3,-0.500,2,-0.538
59170199,British Columbia,512,5,1.107,5,0.714,3,-0.234,2,-0.578
59170200,British Columbia,543,3,-0.404,3,-0.258,3,-0.232,1,-0.869
59170201,British Columbia,578,3,-0.416,4,0.569,3,-0.451,1,-0.750
59170202,British Columbia,275,4,0.279,2,-0.719,2,-0.601,1,-0.670
59170203,British Columbia,763,3,-0.120,2,-0.590,3,-0.308,1,-0.642
59170204,British Columbia,755,3,-0.221,4,0.444,3,-0.361,1,-1.008
59170205,British Columbia,452,1,-1.000,5,0.815,3,-0.512,1,-0.919
59170206,British Columbia,453,1,-0.907,3,-0.024,3,-0.381,1,-0.979
59170207,British Columbia,419,2,-0.627,5,1.215,3,-0.423,2,-0.517
59170208,British Columbia,571,2,-0.678,2,-0.387,3,-0.246,1,-0.815
59170209,British Columbia,483,2,-0.735,3,0.009,3,-0.467,1,-0.865
59170210,British Columbia,481,2,-0.748,4,0.253,2,-0.583,1,-0.932
59170211,British Columbia,494,4,0.552,5,2.396,4,0.174,1,-1.125
59170212,British Columbia,508,5,0.911,5,4.070,3,-0.419,1,-1.580
59170214,British Columbia,643,2,-0.597,4,0.274,3,-0.455,1,-0.869
59170215,British Columbia,456,2,-0.644,5,0.757,3,-0.307,2,-0.417
59170216,British Columbia,473,4,0.102,5,1.552,3,-0.437,1,-0.698
59170217,British Columbia,507,1,-0.984,3,-0.208,3,-0.476,1,-0.830
59170218,British Columbia,528,1,-0.872,2,-0.384,3,-0.302,2,-0.553
59170219,British Columbia,545,1,-0.829,3,-0.288,4,0.112,1,-0.776
59170220,British Columbia,463,1,-1.051,5,0.759,3,-0.208,1,-0.963
59170221,British Columbia,515,3,-0.074,2,-0.459,4,-0.165,2,-0.440
59170222,British Columbia,676,3,-0.079,1,-0.844,4,0.049,2,-0.464
59170223,British Columbia,830,5,0.984,2,-0.738,5,0.761,3,-0.157
59170224,British Columbia,533,5,1.069,1,-0.975,4,0.488,2,-0.409
59170225,British Columbia,346,4,0.229,3,0.018,5,1.003,5,0.388
59170226,British Columbia,519,3,-0.316,1,-0.783,4,-0.102,4,0.152
59170227,British Columbia,768,5,1.225,4,0.224,4,0.033,2,-0.531
59170228,British Columbia,302,4,0.697,3,-0.054,3,-0.325,4,0.046
59170229,British Columbia,468,5,0.960,1,-1.252,4,0.530,1,-0.636
59170230,British Columbia,782,5,1.251,3,0.103,5,1.017,3,-0.145
59170231,British Columbia,270,4,-0.006,5,0.837,3,-0.370,1,-0.679
59170233,British Columbia,665,4,-0.037,1,-0.811,4,0.023,2,-0.417
59170234,British Columbia,704,3,-0.253,2,-0.778,3,-0.255,2,-0.568
59170235,British Columbia,630,5,2.193,5,1.438,4,0.234,4,0.021
59170236,British Columbia,613,4,0.684,3,0.099,4,-0.131,2,-0.397
59170237,British Columbia,604,5,0.937,2,-0.407,4,0.529,2,-0.447
59170238,British Columbia,499,5,0.925,4,0.265,4,0.515,3,-0.247
59170239,British Columbia,502,4,0.340,3,0.005,3,-0.229,2,-0.599
59170240,British Columbia,574,5,1.252,4,0.230,5,0.846,3,-0.331
59170241,British Columbia,602,4,0.492,3,0.066,5,0.883,3,-0.173
59170242,British Columbia,748,5,1.244,4,0.389,5,0.663,3,-0.321
59170243,British Columbia,630,4,0.342,2,-0.613,5,1.026,3,-0.194
59170244,British Columbia,508,4,0.096,2,-0.523,4,0.371,3,-0.291
59170245,British Columbia,820,5,0.905,3,-0.216,5,0.805,4,0.190
59170246,British Columbia,739,3,-0.105,3,-0.143,5,1.036,3,-0.248
59170247,British Columbia,327,3,-0.204,4,0.447,5,0.867,1,-0.639
59170248,British Columbia,460,2,-0.538,2,-0.585,3,-0.211,1,-0.672
59170249,British Columbia,631,2,-0.592,4,0.416,4,0.557,4,-0.001
59170250,British Columbia,491,2,-0.710,4,0.259,4,0.297,1,-0.781
59170251,British Columbia,488,2,-0.775,4,0.303,5,0.812,1,-0.776
59170252,British Columbia,1092,3,-0.100,3,-0.163,5,1.018,3,-0.276
59170253,British Columbia,382,1,-1.115,4,0.425,4,0.089,3,-0.324
59170254,British Columbia,415,2,-0.529,3,-0.151,3,-0.533,1,-0.710
59170255,British Columbia,386,1,-1.026,3,0.090,3,-0.193,1,-0.792
59170256,British Columbia,650,2,-0.606,5,1.474,4,0.180,1,-0.732
59170257,British Columbia,752,1,-0.914,4,0.357,4,-0.068,1,-0.732
59170258,British Columbia,742,2,-0.797,5,1.562,4,0.500,1,-0.869
59170259,British Columbia,432,3,-0.189,5,0.864,5,0.708,2,-0.452
59170260,British Columbia,558,3,-0.173,5,1.071,5,0.727,3,-0.151
59170262,British Columbia,553,3,-0.362,3,0.089,3,-0.407,2,-0.601
59170263,British Columbia,404,2,-0.592,5,1.060,4,-0.185,1,-0.722
59170264,British Columbia,656,2,-0.663,4,0.461,4,0.084,1,-0.780
59170265,British Columbia,417,2,-0.618,4,0.528,4,0.297,2,-0.583
59170266,British Columbia,547,3,-0.349,5,2.505,4,0.037,1,-1.263
59170267,British Columbia,331,1,-1.214,5,1.713,2,-0.627,1,-1.424
59170268,British Columbia,226,1,-0.915,5,1.621,3,-0.507,1,-1.151
59170270,British Columbia,503,1,-0.891,5,1.766,3,-0.300,1,-0.846
59170271,British Columbia,235,1,-0.947,5,1.025,3,-0.527,2,-0.577
59170272,British Columbia,687,5,0.857,5,0.895,3,-0.486,1,-0.661
59170273,British Columbia,597,3,-0.080,3,-0.119,2,-0.554,1,-0.859
59170274,British Columbia,654,4,0.253,5,0.908,3,-0.254,1,-0.959
59170275,British Columbia,532,4,0.028,2,-0.563,3,-0.471,2,-0.455
59170276,British Columbia,544,4,0.483,2,-0.333,3,-0.307,1,-0.667
59170277,British Columbia,358,5,1.476,4,0.594,4,0.005,1,-0.985
59170278,British Columbia,406,5,2.330,4,0.315,2,-0.635,1,-0.664
59170279,British Columbia,495,5,2.431,4,0.288,2,-0.609,1,-0.700
59170280,British Columbia,528,5,2.479,2,-0.346,3,-0.236,2,-0.519
59170281,British Columbia,836,5,2.695,2,-0.346,2,-0.583,1,-1.024
59170282,British Columbia,610,5,2.445,5,1.233,4,-0.029,2,-0.506
59170285,British Columbia,623,5,2.243,3,-0.085,3,-0.439,1,-0.683
59170286,British Columbia,458,5,2.617,4,0.427,1,-0.788,1,-1.042
59170287,British Columbia,513,5,1.999,5,1.415,3,-0.398,1,-0.683
59170288,British Columbia,687,5,1.614,4,0.255,2,-0.593,2,-0.335
59170289,British Columbia,489,5,2.094,4,0.199,2,-0.709,1,-0.910
59170290,British Columbia,552,5,1.125,1,-0.849,3,-0.358,2,-0.485
59170291,British Columbia,510,4,0.015,2,-0.377,3,-0.360,2,-0.585
59170292,British Columbia,387,4,0.360,4,0.344,3,-0.402,1,-0.816
59170293,British Columbia,543,4,0.130,2,-0.381,3,-0.318,1,-0.757
59170294,British Columbia,637,3,-0.239,2,-0.469,3,-0.394,2,-0.540
59170295,British Columbia,727,5,2.187,4,0.153,3,-0.526,1,-0.800
59170296,British Columbia,670,5,1.839,5,1.534,3,-0.437,2,-0.416
59170297,British Columbia,497,5,2.472,5,1.266,2,-0.681,3,-0.263
59170298,British Columbia,822,5,1.604,2,-0.364,3,-0.199,2,-0.562
59170299,British Columbia,413,5,2.132,3,0.101,4,0.016,1,-0.804
59170300,British Columbia,510,5,0.995,5,1.070,3,-0.360,2,-0.405
59170301,British Columbia,430,5,2.751,4,0.134,3,-0.505,2,-0.517
59170302,British Columbia,433,5,1.903,5,2.367,3,-0.320,1,-0.644
59170303,British Columbia,574,5,2.002,5,0.761,3,-0.461,3,-0.224
59170304,British Columbia,555,5,2.490,3,-0.089,4,0.077,5,1.084
59170305,British Columbia,619,5,2.389,4,0.458,4,-0.098,1,-0.706
59170308,British Columbia,544,5,2.162,3,0.016,4,0.033,3,-0.231
59170309,British Columbia,704,5,1.743,3,-0.141,3,-0.243,2,-0.425
59170310,British Columbia,321,4,0.121,4,0.263,3,-0.357,2,-0.506
59170311,British Columbia,747,4,0.410,5,3.209,2,-0.558,1,-1.000
59170312,British Columbia,762,4,0.640,3,-0.142,3,-0.289,2,-0.385
59170313,British Columbia,629,5,1.519,5,0.756,4,-0.141,2,-0.418
59170314,British Columbia,613,5,2.030,5,1.805,3,-0.473,3,-0.322
59170315,British Columbia,469,4,0.441,1,-1.460,2,-0.684,5,0.418
59170316,British Columbia,450,4,0.787,2,-0.437,3,-0.540,3,-0.309
59170317,British Columbia,776,5,2.326,2,-0.398,2,-0.685,4,0.156
59170318,British Columbia,633,5,0.966,1,-0.942,3,-0.495,2,-0.489
59170319,British Columbia,698,5,1.852,5,1.071,3,-0.407,2,-0.365
59170320,British Columbia,504,5,1.175,4,0.126,3,-0.520,2,-0.408
59170321,British Columbia,585,4,0.356,3,-0.260,3,-0.325,4,0.360
59170322,British Columbia,470,2,-0.657,2,-0.636,3,-0.482,1,-0.827
59170323,British Columbia,368,5,2.110,2,-0.557,2,-0.564,5,1.046
59170324,British Columbia,564,5,1.792,2,-0.596,3,-0.323,5,0.602
59170325,British Columbia,503,5,1.466,3,0.032,4,-0.092,2,-0.346
59170326,British Columbia,623,2,-0.511,4,0.164,3,-0.328,2,-0.422
59170327,British Columbia,478,5,1.323,1,-0.931,4,0.068,4,0.206
59170328,British Columbia,628,3,-0.388,2,-0.599,2,-0.582,1,-0.711
59170331,British Columbia,767,3,-0.274,5,1.460,2,-0.559,1,-0.837
59170335,British Columbia,630,5,1.000,2,-0.402,3,-0.406,5,0.503
59170336,British Columbia,1159,3,-0.353,3,-0.099,3,-0.307,2,-0.566
59170337,British Columbia,495,3,-0.335,3,0.016,3,-0.249,3,-0.154
59170338,British Columbia,585,3,-0.344,2,-0.510,3,-0.497,1,-0.804
59170339,British Columbia,436,3,-0.098,1,-0.918,2,-0.615,1,-0.707
59170343,British Columbia,493,3,-0.495,2,-0.526,4,0.037,4,0.016
59170344,British Columbia,467,3,-0.349,2,-0.595,4,0.272,3,-0.071
59170345,British Columbia,424,4,-0.011,2,-0.459,3,-0.415,4,0.128
59170346,British Columbia,401,3,-0.192,4,0.654,3,-0.454,1,-0.707
59170347,British Columbia,588,4,0.334,1,-0.881,4,0.630,3,-0.247
59170348,British Columbia,570,3,-0.167,1,-0.992,3,-0.299,3,-0.242
59170349,British Columbia,939,3,-0.458,2,-0.710,4,-0.171,2,-0.492
59170350,British Columbia,438,2,-0.576,1,-0.985,4,0.204,2,-0.610
59170351,British Columbia,533,2,-0.696,2,-0.416,5,0.733,1,-0.684
59170352,British Columbia,897,4,0.075,3,-0.253,4,0.635,4,-0.027
59170353,British Columbia,871,4,0.082,1,-0.997,4,0.121,2,-0.596
59170354,British Columbia,356,4,0.154,3,-0.103,4,-0.168,5,0.531
59170357,British Columbia,476,5,1.171,1,-1.257,4,0.554,5,0.844
59170359,British Columbia,508,5,1.208,2,-0.396,5,1.133,4,0.074
59170360,British Columbia,574,4,0.649,2,-0.424,4,0.530,5,0.501
59170361,British Columbia,755,5,1.097,2,-0.654,4,0.160,3,-0.307
59170362,British Columbia,649,4,0.340,2,-0.507,3,-0.498,3,-0.121
59170363,British Columbia,667,5,1.087,3,-0.051,4,0.019,2,-0.346
59170364,British Columbia,670,5,1.065,4,0.370,3,-0.493,3,-0.225
59170365,British Columbia,472,5,1.485,5,0.801,2,-0.646,1,-0.722
59170366,British Columbia,575,5,0.827,5,1.161,3,-0.469,1,-0.810
59170367,British Columbia,621,5,1.876,2,-0.397,3,-0.473,4,0.312
59170368,British Columbia,649,5,1.727,3,-0.214,3,-0.535,3,-0.197
59170369,British Columbia,485,5,1.202,2,-0.663,4,-0.154,5,0.604
59170370,British Columbia,450,5,2.333,1,-0.894,3,-0.324,5,0.921
59170371,British Columbia,479,4,-0.056,2,-0.596,3,-0.264,5,0.627
59170372,British Columbia,519,4,0.163,1,-1.000,2,-0.591,1,-0.672
59170373,British Columbia,356,5,0.944,2,-0.469,3,-0.525,3,-0.232
59170374,British Columbia,1102,4,0.659,1,-1.491,3,-0.212,1,-0.915
59170375,British Columbia,469,5,1.152,1,-0.882,3,-0.323,2,-0.392
59170376,British Columbia,586,5,1.108,2,-0.372,4,0.244,5,0.418
59170377,British Columbia,511,5,1.886,5,0.750,3,-0.223,1,-0.820
59170378,British Columbia,615,5,2.521,4,0.490,2,-0.599,2,-0.543
59170379,British Columbia,531,5,1.357,3,-0.226,3,-0.220,5,0.449
59170380,British Columbia,784,5,1.077,2,-0.452,3,-0.277,4,0.315
59170381,British Columbia,1681,4,0.729,5,1.456,4,-0.142,1,-1.431
59170383,British Columbia,741,5,1.698,1,-0.810,4,-0.153,2,-0.603
59170384,British Columbia,510,5,2.020,1,-0.842,3,-0.416,3,-0.295
59170385,British Columbia,523,5,2.061,1,-0.927,5,0.708,3,-0.066
59170386,British Columbia,604,5,2.942,2,-0.596,3,-0.227,5,0.520
59170387,British Columbia,492,5,1.196,4,0.155,4,-0.188,3,-0.329
59170388,British Columbia,594,4,0.371,1,-1.389,4,-0.123,4,-0.020
59170389,British Columbia,823,5,1.416,4,0.169,4,0.390,1,-0.636
59170390,British Columbia,1016,5,2.814,3,-0.200,2,-0.663,4,-0.028
59170392,British Columbia,732,5,1.280,1,-1.038,4,0.478,3,-0.082
59170393,British Columbia,547,5,2.238,4,0.414,4,-0.088,5,0.571
59170396,British Columbia,693,3,-0.413,1,-1.027,4,0.000,2,-0.424
59170397,British Columbia,669,4,-0.046,1,-1.184,4,-0.074,3,-0.212
59170399,British Columbia,649,4,0.054,1,-0.838,4,-0.173,4,0.137
59170400,British Columbia,742,5,3.127,1,-1.107,4,-0.088,1,-0.856
59170401,British Columbia,1275,5,2.084,3,-0.254,4,-0.117,1,-0.978
59170402,British Columbia,516,4,0.561,2,-0.495,3,-0.487,4,0.068
59170403,British Columbia,752,4,0.110,3,-0.180,3,-0.441,1,-0.962
59170404,British Columbia,489,4,0.618,1,-1.419,3,-0.274,2,-0.449
59170405,British Columbia,409,3,-0.232,4,0.413,2,-0.582,1,-0.723
59170406,British Columbia,548,3,-0.243,1,-0.894,3,-0.528,2,-0.457
59170407,British Columbia,644,3,-0.321,2,-0.778,3,-0.201,2,-0.498
59170408,British Columbia,1402,2,-0.652,2,-0.630,3,-0.303,2,-0.524
59170409,British Columbia,999,3,-0.369,2,-0.486,3,-0.201,2,-0.532
59170410,British Columbia,627,2,-0.770,3,-0.202,4,0.150,2,-0.473
59170413,British Columbia,934,3,-0.287,1,-0.970,4,-0.068,3,-0.156
59170414,British Columbia,963,4,-0.015,4,0.158,4,-0.097,3,-0.305
59170415,British Columbia,1349,4,0.141,3,-0.160,4,0.019,3,-0.098
59170416,British Columbia,316,4,0.251,2,-0.381,2,-0.589,5,0.697
59170417,British Columbia,515,4,0.226,5,1.159,3,-0.386,1,-0.897
59170418,British Columbia,297,3,-0.194,1,-1.597,4,0.333,2,-0.532
59170419,British Columbia,456,4,0.541,2,-0.538,3,-0.192,4,0.144
59170421,British Columbia,989,3,-0.070,4,0.213,3,-0.377,1,-0.985
59170422,British Columbia,677,4,0.383,1,-1.613,3,-0.493,3,-0.169
59170423,British Columbia,287,4,0.403,1,-1.599,4,0.133,4,0.267
59170424,British Columbia,384,4,0.559,1,-2.229,3,-0.315,4,0.374
59170425,British Columbia,429,5,1.296,2,-0.725,2,-0.636,5,0.397
59170426,British Columbia,1055,5,1.109,3,-0.288,3,-0.369,3,-0.159
59170427,British Columbia,1280,4,0.628,2,-0.411,3,-0.310,3,-0.223
59170428,British Columbia,1058,3,-0.477,1,-0.853,3,-0.537,3,-0.331
59170429,British Columbia,883,5,0.900,1,-1.590,3,-0.367,1,-0.630
59170430,British Columbia,1187,3,-0.073,2,-0.756,3,-0.425,4,0.106
59170431,British Columbia,1607,5,1.008,1,-0.986,3,-0.284,2,-0.491
59170432,British Columbia,1474,5,1.451,2,-0.750,4,0.049,2,-0.508
59170433,British Columbia,381,3,-0.124,3,-0.169,3,-0.340,4,0.080
59170435,British Columbia,794,4,0.284,1,-0.855,3,-0.411,4,0.162
59170437,British Columbia,902,4,0.412,2,-0.504,3,-0.428,2,-0.362
59170438,British Columbia,1076,3,-0.154,4,0.139,3,-0.487,3,-0.332
59170439,British Columbia,1313,3,-0.359,1,-1.333,3,-0.269,2,-0.555
59170440,British Columbia,1009,4,0.085,1,-0.869,3,-0.491,3,-0.242
59170441,British Columbia,382,3,-0.382,1,-1.125,3,-0.465,3,-0.059
59170442,British Columbia,767,4,0.226,1,-1.110,3,-0.259,2,-0.353
59170443,British Columbia,947,3,-0.496,1,-1.161,3,-0.539,1,-0.626
59170444,British Columbia,2213,2,-0.548,1,-0.950,3,-0.293,2,-0.432
59170451,British Columbia,379,2,-0.530,3,-0.181,2,-0.657,1,-1.144
59170452,British Columbia,627,2,-0.659,1,-1.011,2,-0.606,3,-0.221
59170453,British Columbia,505,3,-0.161,2,-0.725,3,-0.485,1,-0.721
59170454,British Columbia,452,4,-0.042,2,-0.643,2,-0.643,1,-0.845
59170455,British Columbia,715,3,-0.173,2,-0.662,2,-0.560,2,-0.569
59170456,British Columbia,718,2,-0.627,3,-0.230,3,-0.373,1,-0.843
59170457,British Columbia,363,2,-0.693,3,0.028,2,-0.671,1,-0.824
59170458,British Columbia,823,3,-0.168,3,0.054,2,-0.644,5,4.242
59170463,British Columbia,626,2,-0.528,3,-0.224,3,-0.457,1,-0.652
59170464,British Columbia,397,2,-0.517,3,-0.315,3,-0.432,1,-0.745
59170466,British Columbia,434,3,-0.425,5,0.768,2,-0.618,3,-0.170
59170468,British Columbia,595,3,-0.086,4,0.642,4,-0.084,1,-0.784
59170469,British Columbia,467,2,-0.745,4,0.186,3,-0.445,2,-0.350
